
#File completely rewritten, updated, & reworked by Math August 2019.
#Draiocht then made some further alterations for 12.0 in September.
#Credit all around, at this point, about 10 different people have contributed something or other, and many quite a lot, including especially Math, Draiocht, and Arga.


######Americas######

#Caribbean
481 = "Bermudes"					#Bermuda. Notes
758 = "Fort de Gonneville"			#Goias. Notes
759 = "Diamantine"					#Diamentina. Notes
760 = "Bonport"						#Port Seguro. Notes
761 = "Saint-Esprit"				#Espirito Santo. Notes
762 = "Saint-Thomas"				#Sao Tome. Notes
763 = "Henriville"					#Rio de Janeiro. Notes
764 = "Saint-Paul"					#Santo Amaro. Notes	
765 = "Grandes-Mines"				#Minas Gerais. Notes
766 = "Saint-Vincent"				#Sao Vincente. Notes
768 = "Villeroy"					#Guyara. Notes
769 = "Les Pins"					#Curitiba. Notes
2804 = "Beaupays"						#Guasipati. Notes
2857 = "Grand-Fleuve du Sud"			#Rio Grande do Sul. Notes
2879 = "Sainte-Thècle"					#Santa Tecla. Notes
2884 = "Fort de la Mission"				#Povos das Missoes. Notes
2885 = "Fort de la Barre"				#Barra. Notes
2886 = "Le Delta"						#Parnaiba. Notes
2887 = "Sainte-Catherine"				#Santa Catarina. Notes
2889 = "Rive-Blanche"					#Rio Branco. Notes
2890 = "Île Jean"						#Marajo. Notes
2891 = "Saint-Antoine"					#Santa Ana das Minas. Notes
2892 = "Horizon"						#Araxas. Notes
2894 = "Saint-Jean-du-Roi"				#Sao Jao del Rei. Notes
2895 = "Haute-Butte"					#Castro. Notes
2896 = "Grand-Champ"					#Campinas. Notes
2897 = "Repaire"						#Araraquara. Notes
2898 = "Mont-Gelé"						#Serro. Notes
2899 = "Richeville"						#Vila Rica. Notes
2905 = "Rives-Mortelles"				#Rio Das Mortes. Notes
2907 = "Bonneville"						#Vila Boa. Notes
2908 = "Camp-des-Peaux"					#Arrial dos Couros. Notes
2909 = "La Conception"					#Conceicao. Notes
2910 = "Le Pontel"						#Pontal. Notes
2911 = "La Nativité"					#Natividad. Notes
2914 = "Tinamous"						#Inhambupe. Notes
2916 = "Rivières-aux-Perles"			#Rio Contas. Notes
2917 = "Cours-Blanc"					#Paratinga. Notes
2918 = "Long-Champ"						#Campo Largo. Notes
2919 = "Luciane"						#Luziana. Notes
2921 = "Lagunes"						#Alagoas. Notes
2922 = "Terre Vierge"					#Borborema. Notes
2923 = "Bon-Pré"						#Pastos Bons. Notes
2925 = "Grande-Crique"					#Parnagua. Notes
2926 = "Topinamboux"					#Grajau. Notes
2927 = "Port-Brésil"					#Alcantara. Notes
2928 = "Fourmi"							#Tucurui. Notes
2929 = "Le Portel"						#Para. Notes
2930 = "Sainte-Irène"					#Santarem. Notes
2931 = "Guyane"							#Alenquer. Notes
2933 = "Rive-Noire"						#Faro. Notes
2934 = "Manaos"							#Manaus. Notes
2935 = "L'Amazone"						#Muturu. Notes
2937 = "Surinam"						#Suriname. Notes

#Colombia
741 = "Sucré"						#Cumana. Notes
2002 = "Îles Tortoises"					#Galapagos Islands. Notes
2803 = "Orénoque"						#Delta. Notes

######Asia and Oceania######

#Indian Ocean (islands), Oceania and SEA		#I need to redone some later due to SEA overhaul
630 = "Jacatra"						#Kalapa. Notes
632 = "Combava"						#Sumbawa. Notes
633 = "Florès"						#Flores. Notes
634 = "Île du Santal"				#Sumba. Notes
635 = "Timor Occidental"			#West Timor. Notes
641 = "Macassar"					#Makassar. Notes
646 = "Amboine"						#Ambon. Notes
647 = "Céram"						#Ceram. Notes
738 = "Fort de Bray"				#Sakam. Notes
1235 = "Îles Mariannes"					#Guam. Notes
1236 = "Nouvelle-Bretagne"				#Rabaul. Notes
1238 = "Îles Salomon"					#Solomon Islands. Notes
1239 = "Nouvelles-Hébrides"				#Vanuatu. Notes
1242 = "Îles Cannibales"				#Fiji. Notes
1243 = "Îles du Navigateur"				#Samoa. Notes
1244 = "Îles Lointaines"				#Tahiti. Notes
1986 = "Nouvelle-Calédonie"				#New Caledonia. Notes
1987 = "Îles de la Société"				#Society Islands. Notes
1988 = "Île de Pâques"					#Rapa Nui. Notes
1995 = "Micronésie"						#Micronesia. Notes
1996 = "Îles Palaos"					#Palau. Notes
1998 = "Île de Noël"					#Christmas Island. Notes
1999 = "Îles Cocos"						#Cocos Island. Notes
2678 = "Banca"							#Bangka. Notes
2683 = "Île de Bonne Fortune"			#Mentawai. Notes
2693 = "Lomboc"							#Lombok. Notes
2695 = "Timor Oriental"					#East Timor. Notes
2706 = "Succadane"						#Katapang. Notes
5021 = "Îles d'Auckland" 				#Motu Maha. Notes
5022 = "Îles de Chatham" 				#Rekohu. Notes
5023 = "Îles Phœnix"					#Rawaki. Notes
5024 = "Îles Cook du Nord" 				#Tongareva. Notes
5025 = "Îles Marquises" 				#Te Henua Enana. Notes
5026 = "Îles Gambier" 					#Mangareva. Notes
5028 = "Îles Bonin"						#Bonin Islands. Notes
5029 = "Oahu" 							#Oahu. Notes
8632 = "Île des Cochons"				#Simeuleu. Notes
8649 = "Singapour"						#Singapore. Notes

#India
503 = "Coutch"						#Kutch. Notes
515 = "Girnar"						#Girnar. Notes
516 = "Broudre"						#Baroda. Notes
517 = "Surate"						#Surat. Notes
529 = "Bombaye"						#North Konkan. Notes
530 = "Daboul"						#South Konkan. Notes
534 = "Calicut"						#Malabar. Notes
535 = "Cochin"						#Kochin. Notes
536 = "Madure"						#Madurai. Notes
537 = "Quilon"						#Venad. Notes
538 = "Karour"						#Kongu. Notes
539 = "Paliacate"					#Tondainadu. Notes
540 = "Pondichéry"					#Coromandel. Notes
542 = "Golconde"					#Golconda. Notes
543 = "Masulipatan"					#Velanadu. Notes
544 = "Andanagar"					#Ahmadnagar. Notes
569 = "Visapour"					#Bijapur. Notes
572 = "Cotte"						#Kotte. Notes
574 = "Îles des Andamans"			#The Andamans. Notes
1101 = "Chagos"							#Diego Garcia. Notes
1947 = "Gingi"							#Gingee. Notes
1948 = "Beder"							#Bidar. Notes
2026 = "Tanjore"						#Tanjore. Notes
2027 = "Arcate"							#Arcot. Notes
2029 = "Mangalore"						#South Kanara. Notes
2033 = "Savanour"						#Savanaur. Notes
2034 = "Pouné"							#Pune. Notes
2035 = "Calbourge"						#Gulbarga. Notes
2038 = "Midnapour"						#Midnapore. Notes
2054 = "Ahmedabad"						#Ahmadabad. Notes
2080 = "Chicacole"						#Srikakulam. Notes
2084 = "Radjahmoundry"					#Konaseema. Notes
2085 = "Trichy"							#Tiruchirapalli. Notes
2089 = "Choul"							#Chaul. Notes
2099 = "Candi"							#Kandy. Notes
2100 = "Jafapatan"						#Vanni. Notes
4409 = "Trinquemale"					#Trincomale. Notes
4410 = "Cap Comorin"					#Kumari. Notes
4413 = "Cannanore"						#Cannanore. Notes
4415 = "Negapatam"						#Negapattam. Notes
4416 = "Tranquebar"						#Tranqebar. Notes
4418 = "Nélore"							#Nelore. Notes
4421 = "Chiriganpatan"					#Seringapatam. Notes
4425 = "Kondavid"						#Kondavidu. Notes
4427 = "Onore"							#Honnavara. Notes
4429 = "Rajapour"						#Rajapur. Notes
4430 = "Daman"							#Daman. Notes
4435 = "Soulapour"						#Sholapur. Notes
4455 = "Diou"							#Diu. Notes
4457 = "Cambaye"						#Cambay. Notes
4512 = "Baroche"						#Baruch. Notes
5093 = "Îles de la Désolation"			#Kerguelen Islands. Notes
8581 = "Îles Nicobar"					#Nicobar Islands. Notes

#Anatolia
330 = "Trébizonde"					#Trebizond. Notes

#Levant
365 = "Sinaï"						#Sinai. Notes
377 = "Alep"						#Aleppo. Notes
379 = "Jérusalem" 					#Al-Quds. Notes
380 = "Krak des Moabites" 			#Kerak. Notes
382 = "Damas"						#Damascus. Notes
405 = "Palmyre" 					#Raqqa. Notes
1849 = "Émèse" 							#Homs. Notes
1855 = "Galilée"						#Sidon. Notes
2313 = "Antioche" 						#Antioch. Notes
4270 = "Outre-Jourdain"					#Azraq. Notes
5138 = "Osmanie"						#Osmaniye. Notes
5139 = "Nicosie" 						#Nicosia. Notes
5145 = "Famagouste" 					#Famagusta. Notes
5170 = "Lattaquié"						#Latakia. Notes
5203 = "Montréal" 						#Arabah. Notes
5205 = "Beyrouth"						#Beirut. Notes
4297 = "Héliopolis" 					#Baalbek. Notes

#Mesopotamia
2309 = "Singare" 						#Sinjar. Notes

######Europe######

#Italy
101 = "Gênes"						#Genoa. Notes
102 = "Nice"						#Nice. Notes
103 = "Turin"						#Piedmont. Notes
104 = "Milan"						#Milan. Notes
105 = "Parme"						#Parma. Notes
106 = "Modène"						#Modena. Notes
107 = "Bresce"						#Brescia. Notes
108 = "Vérone"						#Verona. Notes
109 = "Mantoue"						#Mantua. Notes
110 = "Trente"						#Trent. Notes
111 = "Aquilée"						#Friuli. Notes
112 = "Venise"						#Venezia. Notes
113 = "Ferrare"						#Ferrara. Notes
114 = "Ravenne"						#Romagna. Notes
115 = "Pise"						#Pisa. Notes
116 = "Florence"					#Firenze. Notes
117 = "Sienne"						#Siena. Notes
118 = "Rome"						#Roma. Notes
119 = "Ancône"						#Ancona. Notes
120 = "L'Aigle"						#Abbruzzi. Notes
121 = "Naples"						#Napoli. Notes
122 = "Tarente"						#Apulia. Notes
123 = "Calabre"						#Calabria. Notes
124 = "Messine"						#Messina. Notes
125 = "Palerme"						#Palermo. Notes
126 = "Malte"						#Malta. Notes
127 = "Gallure"						#Sassari. Notes
130 = "Pole"						#Istria. Notes
205 = "Savoie"						#Savoie. Notes
1247 = "Ajaccio"						#Corsica. Notes
1769 = "Gorice"							#Gorz. Notes
1774 = "Trévise"						#Treviso. Notes
1862 = "Crémone"						#Cremona. Notes
1875 = "Coni"							#Turin. Notes
1933 = "Les Pouilles" 					#Bari. Notes - no french localised naming for "Bari", just "Pouilles" could work too
1934 = "Potence"						#Lucania. Notes
2976 = "Ombrie" 						#Umbria. Notes - or "Pérouse", the name of the city
2977 = "Urbin"							#Urbino. Notes
2978 = "Arèse"							#Arezzo. Notes
2979 = "Novare"							#Novarra. Notes
2980 = "Lucques"						#Lucca. Notes
2983 = "Salerne"						#Salerno. Notes
2984 = "Cosence"						#Costenza. Notes
2985 = "Capitanate"						#Capitanata. Notes
2986 = "Caglier"						#Cagliari. Notes
2992 = "Albengue"						#Albenga. Notes
4737 = "Agrigente"						#Agrigento. Notes
3039 = "Capoue"							#Capua. Notes
3040 = "Piombin"						#Piombino. Notes
3041 = "Bologne"						#Bologna. Notes
3042 = "Masse"							#Massa. Notes
4728 = "Pavie"							#Pavia. Notes
4727 = "Saluces"						#Saluzzo. Notes
3045 = "Aoste"							#Aosta. Notes
3046 = "Haute-Savoie"					#Genevois. Notes
4739 = "Bergame"						#Bergamo. Notes
3048 = "Bausane"						#Sudtirol. Notes - or "Bolzane"
4752 = "Fiume"							#Fiume. Notes
3294 = "Valteline"						#Valtellina. Notes
3295 = "Viterbe"						#Viterbo. Notes
4735 = "Arborée"						#Arborea. Notes
5091 = "Torrès"							#Lugodoro. Notes
5092 = "Bastie"							#Bastia. Notes
4736 = "Drépane"						#Trapani. Notes
7001 = "Caltanissette"					#Caltanissetta. Notes
7002 = "Catane"							#Catania. Notes
7003 = "Catence"						#Catanzaro. Notes
7004 = "Matère"							#Metera. Notes
7005 = "Salente"  						#Lecce. Notes - no french naming for "Lecce" so I chose the name of the region instead
7006 = "Brindes"						#Brindisi. Notes
7007 = "Barlette"						#Barletta. Notes
7008 = "Melfie"							#Melfi. Notes
7009 = "Chilente"						#Cilento. Notes
4734 = "Avellin"						#Avellino. Notes
7011 = "Saint-Séverin"					#SanSevero. Notes
7012 = "Bénévent"						#Benevento. Notes
7013 = "Sciète"							#Chieti. Notes
7014 = "Térame"							#Teramo. Notes
7015 = "Avésan"							#Marsica. Notes
7016 = "Sore"							#Sora. Notes
7017 = "Gaète"							#Gaeta. Notes
4732 = "Velestre"						#Velletri. Notes
7019 = "Sabine"							#Sabina. Notes
7020 = "Campagne"						#Campagna. Notes
7021 = "Orviète"						#Orvieto. Notes
7022 = "Terne"							#Terni. Notes
4731 = "Spolète"						#Spoleto. Notes
7024 = "Nursie"							#Norcia. Notes
7025 = "Pésare"							#Pesaro. Notes
7026 = "Camerin"						#Camerino. Notes
7027 = "Fabrian"						#Fabriano. Notes
7028 = "Faïence"						#Faenza. Notes
7029 = "Eugubie"						#Gubbio. Notes
7030 = "Macérate"						#Macerata. Notes
7031 = "Forly" 							#Forli. Notes
7033 = "Portique"						#TuscanRomagna. Notes
7034 = "Carpegne"						#Carpegna. Notes
7035 = "Cité du Castel"					#CittadiCastello. Notes
7036 = "Foligne"						#Faligno. Notes
7037 = "Fermont"						#Fermo. Notes
7038 = "Boniface"						#Bonifacio. Notes
7041 = "Orbitelle"						#Orbetello. Notes
7042 = "Grossète"						#Grosetto. Notes
7044 = "Masse Maritime"					#MassaMarittima. Notes
7045 = "Barde"							#Bardi. Notes
7046 = "Cortone"						#Cortona. Notes
7047 = "Pistoie"						#Pistoia. Notes
7048 = "Tortone"						#Tortona. Notes
7049 = "Prate"							#Prato. Notes
7050 = "Sovane"							#Sovana. Notes
7051 = "Volterre"						#Volterra. Notes
7052 = "Albe"							#AlbaPiedmont. Notes
7054 = "Oneille"						#Oneglia. Notes
7055 = "Lespece"						#LaSpezia. Notes
7056 = "Monègue"						#MonacoVentimiglia. Notes
7057 = "Plaisance"						#Piacenza. Notes
7058 = "Alexandrie"						#Alessandria. Notes
7059 = "Lunigiane"						#Fivizzano. Notes
7061 = "Acque"							#Acqui. Notes
7062 = "Cève"							#Ceva. Notes
7063 = "Mondôve"						#Mondovi. Notes
7064 = "Tende"							#Tende. Notes
7065 = "Chivas"							#Chivasso. Notes
7066 = "Quiers"							#Chieri. Notes
7067 = "Rhège"							#ReggioEmilia. Notes
7068 = "Guastalle"						#CorreggioGuastalla. Notes
7070 = "Aste"							#Asti. Notes
7071 = "Pignerol"						#Pinerolo. Notes
7072 = "Ivrée"							#Ivrea. Notes
4740 = "Côme"							#Como. Notes
7075 = "Verceil"						#Vercelli. Notes
7076 = "Clugie"							#Chioggia. Notes
4729 = "Padoue"							#Padua. Notes
7078 = "Lôde"							#Lodi. Notes
7079 = "Bielle"							#Biella. Notes
7080 = "Ossole"							#Ossola. Notes
7081 = "Polésine"						#Polesine. Notes
7082 = "Pisine"							#Pazin. Notes
7083 = "Brène"							#ValCamonica. Notes
7084 = "Lagarine"						#Lagarina. Notes
7085 = "Vicence"						#Vicenza. Notes
7086 = "Pordénon"						#Pordenone. Notes
7087 = "Cénède"							#Ceneda. Notes
7090 = "Rovigne"						#Rovigno. Notes
7091 = "Tolmin"							#Tolmino. Notes
4758 = "Méran"							#Meran. Notes
7093 = "Bréssanon"						#Brixen. Notes
7094 = "Bellune"						#Belluno. Notes
7096 = "Udine"							#Udine. Notes
7097 = "Barbarie"						#Nuoro. Notes
7098 = "Tolmèse"						#Tolmezzo. Notes
7099 = "Oléastre"						#Ogliastra. Notes

#Scandinavia
2 = "Ostrogothie"					#Ostergotland. Notes
3 = "Calmar"						#Kalmar. Notes
4 = "Westmanie"						#Bergslagen. Notes
5 = "Varmie"						#Varmland. Notes
6 = "Malmogie"						#Skane.Notes
7 = "Scara"							#Skaraborg. Notes
8 = "Coperberg"						#Dalaskogen. Notes
9 = "Gestricie"						#Halsingland. Notes
11 = "Botnie-Occidentale"			#Vasterbotten. Notes
12 = "Copenhague"					#Sjaelland. Notes
14 = "Fionie"						#Fyn. Notes
15 = "Ripen"						#Jylland. Notes
16 = "Bahus"						#Bohuslan. Notes
18 = "Laponie du Sud"				#Lappland. Notes
19 = "Ostrobotnie"					#Osterbotten. Notes
26 = "Helmstede"					#Halland. Notes
27 = "Finlande"						#Finland. Notes
28 = "Nylande"						#Nyland. Notes
29 = "Tavastie"						#Tavastland. Notes
31 = "Savonie du Sud"				#Savolaks. Notes
1930 = "Aland"							#Aland. Notes
1983 = "Lalande"						#Lolland. Notes
1984 = "Albourg"						#Nordjylland. Notes
1985 = "Néricie"						#Narke. Notes
3120 = "Ionekoping"						#Kronoberg. Notes
3121 = "Œlande"							#Kalmar. Notes
3122 = "Sudermanie"						#Sodermanland. Notes	
3123 = "Uplande"						#Uppland. Notes
3124 = "Angermanie"						#Angermanland. Notes
3135 = "Frise septentrionale"			#North Frisia. Notes
4114 = "Laponie du Nord"				#Northern Lappmarks. Notes		
4142 = "Arhus"							#Aarhus. Notes
4149 = "Colding"						#Kolding. Notes
4151 = "Laponie Finlandaise"			#Inari. Notes
4152 = "Cajanie"						#Kajaani. Notes
4163 = "Gothembourg" 					#Elfsborg. Notes - not really exact as the city was founded in the early 17th century, though I can't find a french name for Lödöse but anyway the city will rapidly be supplanted by Göteborg.
4164 = "Dalie"							#Dal. Notes
4165 = "Ahuys"							#Goinge. Notes
4166 = "Wexiö"							#Tioharad. Notes
5591 = "Isabelle"						#Jan Mayen. Notes
7767 = "Roschilt"						#Roskilde. Notes
7768 = "Kalimbourg"						#Kalundborg. Notes
7766 = "Helsembourg"					#Helsingborg. Notes
7770 = "Vibourg"						#Viborg. Notes
7771 = "Rincoping"						#Ringkobing. Notes
7773 = "Flensbourg"						#Flensburg. Notes
7797 = "Helsingie"						#Halsingland. Notes
7798 = "Medelpadie"						#Medelpad. Notes
7799 = "Botnie-Septentrionale"			#Norrbotten. Notes
7800 = "Torne"							#Tornio. Notes
7801 = "Carleby"						#Kokkola. Notes
7803 = "Tavastie du Nord"				#Jyvaskyla. Notes
7804 = "Savonie du Nord"				#Kuopio. Notes
7805 = "Tavastie du Sud"				#Lahti. Notes
7863 = "Dalécarlie"						#Dalarna. Notes

#Iberia
197 = "Roussillon"					#Roussillon. Notes
206 = "La Corogne"					#Galicia. Notes				
207 = "Asturies"					#Asturias. Notes
208 = "León"						#Leon. Notes
209 = "Biscaye"						#Vizcaya. Notes
210 = "Navarre"						#Navarra. Notes
211 = "Pyrénées"					#Pirineo. Notes
212 = "Gérone"						#Girona. Notes
213 = "Barcelone"					#Barcelona. Notes
214 = "Saragosse"					#Aragon. Notes
215 = "Castille"					#Castilla La Vieja. Notes
216 = "Salamanque"					#Salamanca. Notes
219 = "Tolède"						#Toledo. Notes
220 = "Valence"						#Valencia. Notes
221 = "Murcie"						#Murcia. Notes
222 = "Almérie"						#Almeria. Notes
223 = "Grenade"						#Granada. Notes
224 = "Séville"						#Andalucia. Notes
225 = "Cordoue"						#Cordoba. Notes
226 = "Gibraltar"					#Gibraltar. Notes
227 = "Lisbonne"					#Lisboa. Notes
232 = "Bragance"					#Braganca
333 = "Majorque" 					#The Baleares. Notes - or "Maillogres", archaic
366 = "Fortaventure"				#The Canarias. Notes
367 = "Açores"						#The Azores. Notes
368 = "Madère"						#Madeira. Notes
1745 = "Cantabrie"						#Cantabria. Notes
1746 = "Burges"							#Burgos. Notes
1747 = "Cacéres"						#Caceres. Notes
1748 = "Jaén"							#La Mancha. Notes
1749 = "Cadix"							#Cadiz. Notes
1750 = "Alicante"						#Alicante. Notes
1851 = "Coïmbre"						#Ribatejo. Notes
2754 = "La Manche"						#La Mancha. Notes
2988 = "Tarragone"						#Tarragona. Notes
4788 = "Plasence"						#Plasencia. Notes
3104 = "Brague"							#Minho. Notes
4550 = "Castillon"						#Castellon. Notes
4789 = "Ségovie"						#Palencia. Notes
4555 = "Pontvieux"						#Vigo. Notes
4557 = "Calatayud"						#Lleida. Notes
4559 = "Minorque"						#Minorca. Notes
4560 = "Pityuses"						#Ibiza. Notes
4565 = "Ténériffe"						#Tenerife. Notes
5096 = "Grande Canarie"					#Tenerife. Notes

#Germany (North and South)
44 = "Hambourg"						#Hamburg. Notes
46 = "Mecklembourg"					#Rostock. Notes
48 = "Colberg"						#Kolberg. Notes
49 = "Nouvelle-Marche"				#Neumark. Notes
50 = "Brandebourg"					#Berlin. Notes
53 = "Lunebourg"					#Luneburg. Notes
55 = "Oldenbourg"					#Oldenburg. Notes
57 = "Brunswick"					#Brunswick. Notes
59 = "Wittemberg"					#Wittenberg. Notes
60 = "Haute-Lusace"					#Lausitz. Notes
61 = "Saxe"							#Dresden. Notes
63 = "Thuringe"						#Erfurt. Notes
64 = "Basse-Bavière"				#Landshut. Notes
65 = "Munich"						#Munchen. Notes
67 = "Nuremberg"					#Nurnberg. Notes
69 = "Constance"					#Oberschwaben. Notes
70 = "Wurtemberg"					#Wurttemberg. Notes
72 = "Brisgau"						#Breisgau. Notes
73 = "Tyrol"						#Tirol. Notes
74 = "Bade"							#Baden. Notes
75 = "Alsace"						#Elsass. Notes
76 = "Salzbourg"					#Salzburg. Notes
78 = "Mayence"						#Mainz. Notes
79 = "Wurtzbourg"					#Wurzburg. Notes
80 = "Trèves"						#Trier. Notes
81 = "Hesse"						#Hessen. Notes
82 = "Westphalie"					#Lippe. Notes
85 = "Cologne"						#Koln. Notes
86 = "Munster"						#Munster. Notes
128 = "Carinthie"					#Karnten. Notes
129 = "Carniole"					#Krain. Notes
132 = "Styrie"						#Steiermark. Notes
134 = "Vienne"						#Wien. Notes
165 = "Berne"						#Bern. Notes
166 = "Waldstätten"					#Schwyz. Notes
1757 = "Haut-Palatinat"					#Oberpfalz. Notes
1758 = "Hanovre"						#Hannover. Notes
1760 = "Coblence"						#Koblenz. Notes
1761 = "Palatinat"						#Pfalz. Notes
1762 = "Cassel"							#Kassel. Notes
1763 = "Basse-Lusace"					#Niederlausitz. Notes
1857 = "Lauenbourg"						#Lauenburg. Notes
1858 = "Stetin"							#Stettin. Notes
1868 = "Augsbourg"						#Augsburg. Notes
1869 = "Zurich"							#Zurich. Notes
1870 = "Saint-Gall"						#St Gallen. Notes
1871 = "Valais"							#Wallis. Notes
1872 = "Ulm"							#Ulm. Notes
1873 = "Grisons"						#Chur. Notes			
1874 = "Brême"							#Bremen. Notes
1876 = "Francfort"						#Frankfurt. Notes
1878 = "Aix-la-Chapelle"				#Aachen. Notes
2964 = "Vieille-Marche"					#Altmark. Notes
2993 = "Marche-de-l'Ucker"				#Uckermark. Notes
2995 = "Stolpe"							#Stolp. Notes
4710 = "Brégence"						#Vorarlberg. Notes
3054 = "Tessin"							#Lugano. Notes
3055 = "Bâle"							#Basel. Notes
4720 = "Genève"							#Geneva. Notes
4768 = "Juliers"						#Julich. Notes
3198 = "Sarre"							#Saarland. Notes
3200 = "La Marck"						#Mark. Notes
4712 = "Constance"						#Konstanz. Notes
4718 = "Aschaffenbourg"					#Aschaffenburg. Notes
4774 = "Fulde"							#Fulda. Notes
4716 = "Cobourg"						#Coburg. Notes
4773 = "Gottingue"						#Gottingen. Notes
3292 = "Trémoigne"						#Dortmund. Notes
4141 = "Dithmarse"						#Ditmarschen. Notes
7775 = "Rendsbourg"						#Rendsburg. Notes
7813 = "Gustrou"						#Gustrow. Notes
7818 = "Camin"							#KamminPomerania. Notes
4747 = "Drambourg"						#Schivelbein. Notes
7823 = "Belgarde"						#Belgard. Notes
7824 = "Slage"							#Schlawe. Notes

#Low Countries
90 = "Bruges"						#Vlaanderen. Notes
92 = "Bruxelles"					#Brabant. Notes
94 = "Luxembourg"					#Luxemburg. Notes
95 = "Bréda"						#Breda. Notes
96 = "Zélande"						#Zeeland. Notes
97 = "Hollande"						#Holland. Notes
99 = "Gueldre"						#Gelre. Notes
100 = "Frise"						#Friesland. Notes
1742 = "Limbourg"						#Limburg. Notes 
1744 = "Anvers"							#Antwerpen. Notes
1865 = "Gand"							#Ghent. Notes
1931 = "Frise orientale"				#East Frisia. Notes
2974 = "Looz" 							#Loon. Notes
3060 = "Nimègue"						#Betuwe. Notes
4770 = "Bois-le-Duc"					#Den Bosch. Notes
3063 = "Ruremonde"						#Overmaas. Notes
3064 = "Ypres"							#Westhoek. Notes
4382 = "Groningue"						#Ommeland. Notes
4383 = "La Haye"						#Haag. Notes

#France
#189 = "Lorraine"					#Lothringen. Notes			#Draiocht cut, changed to Nancy in 12.0
3110 = "Îles de la Manche"			#Channel Islands. Notes
#Draiocht added the following French overrides, mostly to restore the hyphen to French names.
4769 = "Lille"
4386 = "Bas-Poitou"
7909 = "Saint-Étienne"
7915 = "Saint-Flour"
7923 = "Basse-Navarre"
7926 = "Mont-de-Marsan"
7940 = "Saint-Claude"
7953 = "Saint-Dizier"
7973 = "Saint-Omer"
7995 = "Saint-Malo"

#British Isles and Ireland
233 = "Cornouailles"				#Cornwall. Notes
236 = "Londres"						#London. Notes
244 = "Lancastre"					#Lancashire. Notes
246 = "Neufchâtel"					#Northumberland. Notes
247 = "Cumbrie"						#Cumbria. Notes
248 = "Édimbourg"					#Lothian. Notes
251 = "Aberdon"						#Aberdeen. Notes
369 = "Orcades"						#Orkney. Notes
1979 = "Îles Féroé"						#Faroes. Notes
3019 = "Glasgovie"						#Strathclyde. Notes
4365 = "Île de Man"						#Mann. Notes
4377 = "Ormonde"						#Ormond. Notes

#Balkans
4753 = "Jadres"						#Dalmatia. Notes
138 = "Dioclée"						#Zeta. Notes
142 = "Corfou"						#Corfu. Notes
144 = "Épire"						#Janina. Notes
145 = "Laconie"						#Morea. Notes
146 = "Athènes"						#Athens. Notes
147 = "Larisse"						#Salonica. Notes
148 = "Thessalonique" 				#Thessaloniki. Notes - or "Salonique"
149 = "Andrinople"					#Edirne. Notes
159 = "Silistre"					#Silistria. Notes
163 = "Candie"						#Crete. Notes
164 = "Cyclades"					#Naxos. Notes
1764 = "Bourgas"						#Burgas. Notes - or "Messembrie" 
1773 = "Élide"							#Achaea. Notes
1853 = "Castore"						#Kastoria. Notes
2750 = "Philippopoli"					#Plovdiv. Notes
3001 = "Scopie"							#Skopje. Notes
3003 = "Négrepont"						#Euboea. Notes
3167 = "Péroune"						#Pirin. Notes
3170 = "Eklisie"						#Kirkkilise. Notes
4705 = "Comerschine"					#Komotini. Notes
4702 = "Serrès"							#Serres. Notes
3174 = "Tricale"						#Trikala. Notes
3175 = "Étolie"							#Aetolia. Notes
4698 = "Céphalonie"						#Cephalonia. Notes
3177 = "Thèbes"							#Thebes. Notes
3178 = "Achaïe"							#Patras. Notes
3179 = "Argolide"						#Argolis. Notes
3180 = "La Canée"						#Chania. Notes	
3181 = "Valone"							#Delvina. Notes
3183 = "Pélagonie"						#Bitola. Notes
4174 = "Duras"							#Durres. Notes
7100 = "Coron"							#Koroni. Notes
7101 = "Messénie"						#Messenia. Notes
7102 = "Arcadie"						#Arcadia. Notes
4701 = "Corinthe"						#Corinthia. Notes
7106 = "Réthymnon"						#Rettimo. Notes
7107 = "Sitie"							#Sitia. Notes
7108 = "Néopatrie"						#Neopatras. Notes
7109 = "Caryste"						#Karystos. Notes
7110 = "Oréi"							#Oreoi. Notes
7111 = "Béotie"							#Boeotia. Notes
7112 = "Lépante"						#Naupaktos. Notes
7113 = "Girton"							#ZetounionBodonitsa. Notes
7114 = "Phocide"						#Salona. Notes
7115 = "Amphilochie"					#Acarnania. Notes
7117 = "Magnésie"						#Demetrias. Notes
7118 = "Pharsale"						#Pharsala. Notes
7120 = "Chalcidique"					#Chalkidiki. Notes
7121 = "Élasson"						#Elassona. Notes
7122 = "Émathie"						#Veroia. Notes
7123 = "Édesse"							#MacedonianEdessa. Notes
7124 = "Sérvia"							#ServiaKozani. Notes
7125 = "Leucade"						#Lefkada. Notes
7126 = "Zacynthe"						#Zakynthos. Notes
7127 = "Cavalle"						#Kavala. Notes
7128 = "Drame"							#Drama. Notes
7129 = "Xanthie"						#Xanthi. Notes
7130 = "Didymotique"					#Evros. Notes
4699 = "Narte"							#Arta; Notes
7132 = "Thesprotie"						#Thesprotia. Notes
7133 = "Metsovo"						#Metsovo. Notes
7134 = "Aïnos"							#Ainos. Notes
4779 = "Dardanelles"					#Gallipoli. Notes
7136 = "Bisanthe"						#Rhaidestos. Notes
7137 = "Sélymbrie"						#Selymbria. Notes
7139 = "Sozople"						#Sozopolis. Notes
